LCT_Connections,Category,Type,Import,Export,LicenceArea,FunctionalLocation,SecondarySubstationAlias,Status,Primary_FunctionalLocation,PrimaryFeeder,Latitude,Longitude,geopoint,LocalAuthority
11,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000003U0930,3U0930,Connected,EPN-S0000000H3040,A73 SOUTH WITHAM PRIMARY,,,"51.7772261178459, 0.663220190188708",Maldon District (B)
6,Generation,Solar PV,0,15,Eastern Power Networks (EPN),EPN-S0000006U1337,6U1337,Connected,EPN-S0000000H6008,C20 LEVERINGTON PRIMARY,,,"52.6761482519549, 0.160100546194419",Fenland District
8,Generation,Solar PV,0,36,Eastern Power Networks (EPN),EPN-S0000003U2391,3U2391,Connected,EPN-S0000000H3016,J39 BRAISWICK PRIMARY,,,"51.9064122881148, 0.877008171883465",Colchester District (B)
7,Generation,Solar PV,0,22,Eastern Power Networks (EPN),EPN-S0000006U2166,6U2166,Connected,EPN-S0000000H6072,G10 GAYWOOD BRIDGE PRIMARY,,,"52.7674254563924, 0.413097261390124",King's Lynn and West Norfolk District (B)
11,Generation,Solar PV,0,37,Eastern Power Networks (EPN),EPN-S0000001U1391,1U1391,Connected,EPN-S0000000H1021,B28 WATER LN PRIMARY,,,"52.4220933190714, 0.762080274969437",Breckland District
13,Generation,Solar PV,0,45,Eastern Power Networks (EPN),EPN-S0000007U1753,7U1753,Connected,EPN-S0000000H7036,C39 THORPE BAY PRIMARY,,,"51.5249658514432, 0.777778393886675",Southend-on-Sea (B)
51,Generation,Solar PV,0,150,Eastern Power Networks (EPN),EPN-S0000003U2291,3U2291,Connected,EPN-S0000000H3036,J37 EAST BAY PRIMARY,,,"51.8870444470324, 0.935076719316954",Colchester District (B)
10,Generation,Solar PV,0,37,Eastern Power Networks (EPN),EPN-S0000003U3308,3U3308,Connected,EPN-S0000000H3063,J53 OLD RD PRIMARY,,,"51.7958307215618, 1.14383985680177",Tendring District
9,Generation,Solar PV,0,34,Eastern Power Networks (EPN),EPN-S0000007U3758,7U3758,Connected,EPN-S0000000H7031,F38 ROYSTON PRIMARY,,,"52.0477224279073, -0.0103478777929605",North Hertfordshire District
11,Generation,Solar PV,0,35,Eastern Power Networks (EPN),EPN-S0000005U0748,5U0748,Connected,EPN-S0000000H5020,H12 LONG RD PRIMARY,,,"52.4507338208557, 1.71282268252102",East Suffolk District
6,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000001U1847,1U1847,Connected,EPN-S0000000H1012,B56 BURY GRID,,,"52.2477025811543, 0.752459522068836",West Suffolk District
7,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000001U1207,1U1207,Connected,EPN-S0000000H1030,B25 STANTON PRIMARY,,,"52.3230479364589, 0.897632118626918",West Suffolk District
6,Generation,Solar PV,0,6,Eastern Power Networks (EPN),EPN-S0000003U0364,3U0364,Connected,EPN-S0000000H3014,A16 BRAINTREE DEPOT PRIMARY,,,"51.8797017218351, 0.56048921921539",Braintree District
6,Generation,Solar PV,0,15,Eastern Power Networks (EPN),EPN-S0000003U1395,3U1395,Connected,EPN-S0000000H3030,A47 SOUTH WOODHAM PRIMARY,,,"51.643713994482, 0.606626326898829",Chelmsford District (B)
9,Generation,Solar PV,0,38,Eastern Power Networks (EPN),EPN-S0000004U1449,4U1449,Connected,EPN-S0000000F4068,B59 HUNTINGDON GRID,,,"52.3780286858996, -0.270801495643643",Huntingdonshire District
